"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2242","@sanity Invalid login test with - abc@gmail.com and 13234","chromium","2026-07-14","passed","2026-07-14","","loginpagefix.spec.ts","",""
"","2627","Logout link visibility test","chromium","2026-07-14","passed","2026-07-14","","homepagefix.spec.ts","",""
"","2801","Verify search with product - macbook and MacBook Air","chromium","2026-07-14","passed","2026-07-14","","searchpage.spec.ts","",""
"","3997","Verify user is able to land on Product page macbook and MacBook Pro","chromium","2026-07-14","passed","2026-07-14","","searchpage.spec.ts","",""
"","2342","@sanity Invalid login test with - and 32423","chromium","2026-07-14","passed","2026-07-14","","loginpagefix.spec.ts","",""
"","2788","Verify search with product - imac and iMac","chromium","2026-07-14","passed","2026-07-14","","searchpage.spec.ts","",""
"","1784","Login page title test","chromium","2026-07-14","passed","2026-07-14","","loginpage.spec.ts","",""
"","2459","@smoke do login into web application test","chromium","2026-07-14","passed","2026-07-14","","loginpagefix.spec.ts","",""
"","2247","@sanity Invalid login test with - xyz@gmail.com and","chromium","2026-07-14","passed","2026-07-14","","loginpagefix.spec.ts","",""
"","2890","Verify search with product - macbook and MacBook Pro","chromium","2026-07-14","passed","2026-07-14","","searchpage.spec.ts","",""
"","2367","Registration page title test","chromium","2026-07-14","passed","2026-07-14","","registration.spec.ts","",""
"","2893","@sanity Registration test with csv - John Doe60","chromium","2026-07-14","passed","2026-07-14","","registration.spec.ts","",""
"","0","do login into web application test","chromium","2026-07-14","skipped","2026-07-14","","loginpage.spec.ts","",""
"","3","Home page title test","chromium","2026-07-14","skipped","2026-07-14","","homepage.spec.ts","",""
"","2576","Footers exist or not","chromium","2026-07-14","passed","2026-07-14","","productpage.spec.ts","",""
"","2529","@smoke Headers count test","chromium","2026-07-14","passed","2026-07-14","","homepagefix.spec.ts","",""
"","1789","TC9","chromium","2026-07-14","passed","2026-07-14","Serial Tests","loginpagefix.spec.ts","",""
"","4344","Verify product information","chromium","2026-07-14","passed","2026-07-14","","productpage.spec.ts","",""
"","4168","Verify add to cart functionality","chromium","2026-07-14","passed","2026-07-14","","productpage.spec.ts","",""
"","1908","Forgot Password link visibility test","chromium","2026-07-14","passed","2026-07-14","","loginpage.spec.ts","",""
"","3264","Logout link visibility test","chromium","2026-07-14","passed","2026-07-14","","homepage.spec.ts","",""
"","2413","Headers count test","chromium","2026-07-14","passed","2026-07-14","","homepage.spec.ts","",""
"","2583","Company logo exist or not","chromium","2026-07-14","passed","2026-07-14","","productpage.spec.ts","",""
"","2744","@sanity Registration test with csv - John Doe58","chromium","2026-07-14","passed","2026-07-14","","registration.spec.ts","",""
"","3949","Verify user is able to land on Product page imac and iMac","chromium","2026-07-14","passed","2026-07-14","","searchpage.spec.ts","",""
"","3886","Verify product images count","chromium","2026-07-14","passed","2026-07-14","","productpage.spec.ts","",""
"","2809","@sanity Registration test with csv - John Doe59","chromium","2026-07-14","passed","2026-07-14","","registration.spec.ts","",""
"","2533","Home page title test","chromium","2026-07-14","passed","2026-07-14","","homepagefix.spec.ts","",""
"","3757","Verify user is able to land on Product page macbook and MacBook Air","chromium","2026-07-14","passed","2026-07-14","","searchpage.spec.ts","",""
"","1792","Login page title test","chromium","2026-07-14","passed","2026-07-14","","loginpagefix.spec.ts","",""
"","1831","Forgot Password link visibility test","chromium","2026-07-14","passed","2026-07-14","","loginpagefix.spec.ts","",""
"","1748","TC10","chromium","2026-07-14","passed","2026-07-14","Serial Tests","loginpagefix.spec.ts","",""
"","5455","Verify the checkout of selected product","chromium","2026-07-14","passed","2026-07-14","","checkout.spec.ts","",""
